"Domaine","Fonctionnalité","Description détaillée","Catégorie","Priorité","Outil d’origine","Tendance 2025","Source"
"Édition graphique","Éditeur multi-canvas","Gestion de plusieurs pages, glisser-déposer, calques, groupes/verrouillage/masques, guides, grilles","Base avancée","Élevée","Canva, Adobe Express","Standard, UX avancée",""
"Média IA","IA Générative polyvalente","Magic Studio (Canva), Firefly (Adobe): génération image, texte, style, videos, génération par prompt","IA","Critique","Canva, Adobe Express","Explosion IA générative",""
"Vidéo/Audio","Éditeur vidéo, audio IA","Découpe, transitions, musique IA, sous-titres auto, voix off, synchronisation audiovisuelles","Média","Haute","Canva, Adobe Express","Contenu social, AI Studio",""
"Collaboration","Travail en temps réel","Coédition synchrone, commentaires, suggestions, chat intégré, gestion des rôles & versions","Collaboration","Critique","Canva, Adobe Express","SaaS, B2B, équipes",""
"Export/Publication","Multi-export & réseaux osm","Export SVG, PNG, GIF, PDF, vidéo, multi-tailles, scheduler, bulk create, integration sociale","Publication","Critique","Canva, Adobe Express","Multicanal, automation",""
"Branding","Brand Kit, Brand Voice IA","Cohérence marque (logos, couleurs, styles, brand voice, auto templates), gestion multi-marques","Marque/Sécurité","Haute","Canva, Adobe Express","Pro, IA marketing",""
"Accessibilité","Accessibilité IA complète","Alt text auto, détection contraste, UI multi-langue, mode clair/sombre, synthèse vocale","Accessibilité","Haute","Canva, Adobe Express","Inclusion",""
"Productivité","Docs/Sheets/Whiteboards","Tableurs, docs collaboratifs, tableaux blancs, magic charts, planification contenus","Bureautique","Moyenne","Canva, Visual Suite","R&D interne",""
"API/Extensions","Open API, SDK plugin","Intégration REST/GraphQL, SDK d’extensions, marketplace, connecteurs IA externes","Développement","Critique","Les deux","Ouverture écosystème",""
"Sécurité","Authent & sauvegarde avancée","Auth SSO/OAuth2, sauvegarde locale & cloud, chiffrement, audits, offline, 2FA","Sécurité","Haute","Les deux","Business ready",""
"UI/UX","Animations & effets avancés","Animations, transitions, parallaxe, effets texte 3D, mockups IA, preview mode, focalisation","Créatif","Moyenne","Les deux","Motion design",""
